店铺名称,平台,商品ID,平台店铺商品编码,线上商品编码,处理说明,可替换商品编码,是否换图
速班达家居,Alibaba,963374911361,ziluo02,DNZ015426N371V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,DNZ015465N68V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,DNZ015467N68V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,DNZ015476N79V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,DNZ015478N79V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,DNZ015479N79V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,DNZ015480N79V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,SZ018001N371V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,SZ018002N371V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,SZ018003N371V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,SZ018006N371V01,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,ZH-34112J-1-SZ018002N371V01-1,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,ZH-34112J-1-SZ018006N371V01-1,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,ZH-34114J-1-SZ018001N371V01-1,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,ZH-34114J-1-SZ018003N371V01-1,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,ZH-cy000901N965V01-1-SZ018001N371V01-1,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,ZH-cy000901N965V01-1-SZ018003N371V01-1,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,ZH-cy000902N965V01-1-SZ018002N371V01-1,全渠道下架,,否
速班达家居,Alibaba,963374911361,ziluo02,ZH-cy000902N965V01-1-SZ018006N371V01-1,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000214N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000215N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000216N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000217N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000218N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000219N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000220N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000221N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000222N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000223N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000224N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000225N1071V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000229N961V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000230N961V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000231N961V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000232N961V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000233N961V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,CBZ000234N961V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,DNZ023901N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,DNZ023902N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,DNZ023903N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,DNZ023904N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,DNZ023905N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,cbz000201N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,cbz000203N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,cbz000204N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,cbz000205N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,cbz000207N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,cbz000210N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,cbz000211N1221V01,全渠道下架,,否
速班达家居,Alibaba,964486577728,ziluo01,cbz000212N1221V01,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,DNZ025401N613V01,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,DNZ025403N613V01,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,DNZ025404N613V02,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,DNZ025408N1217V01,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,DNZ025410N887V01,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,DNZ025411N613V01,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,DNZ025413N1217V01,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,ZH-dny002601N1015V01-1-DNZ025401N613V01-1,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,ZH-dny002601N1015V01-1-DNZ025403N613V01-1,全渠道下架,,否
速班达家居,Alibaba,964562385148,ziluo03,ZH-dny002601N1015V01-1-DNZ025404N613V02-1,全渠道下架,,否
